__run_id,__done,governor_type,workload_type,execution_time,energy,cpu_usage,average_CPU_frequency
run_14_repetition_7,DONE,schedutil,low,130.321,6125.77,45.46,2692.84
run_14_repetition_2,DONE,schedutil,medium,132.654,6609.782,56.91,2709.36
run_13_repetition_8,DONE,schedutil,high,134.257,7993.891,97.64,2514.8
run_6_repetition_8,DONE,performance,low,128.848,6494.399,52.59,2809.44
run_1_repetition_8,DONE,performance,medium,131.651,7020.078,65.67,2707.64
run_15_repetition_4,DONE,performance,high,308.207,14434.048,52.13,2506.24
run_1_repetition_2,DONE,powersave,low,357.657,10629.829,30.4,801.36
run_12_repetition_7,DONE,powersave,medium,134.045,4057.196,98.76,799
run_4_repetition_8,DONE,powersave,high,138.745,4118.907,98.4,799
run_5_repetition_1,DONE,userspace,low,132.593,4317.719,68.4,799.2
run_4_repetition_6,DONE,userspace,medium,137.617,4099.969,97.49,799
run_8_repetition_4,DONE,userspace,high,135.293,4092.602,98.72,799
run_3_repetition_9,DONE,ondemand,low,130.581,6115.992,55.09,1817.36
run_0_repetition_5,DONE,ondemand,medium,133.949,6502.063,61.83,2063.12
run_12_repetition_4,DONE,ondemand,high,133.531,8057.782,97.54,2500.12
run_15_repetition_3,DONE,conservative,low,130.332,6138.703,53.37,2114.8
run_9_repetition_1,DONE,conservative,medium,133.848,6648.93,62.14,2370.8
run_11_repetition_1,DONE,conservative,high,133.666,7991.295,96.1,2502.96
run_10_repetition_1,DONE,schedutil,low,130.137,6695.404,55.15,2766.88
run_17_repetition_3,DONE,schedutil,medium,133.381,7914.45,92.66,2513.08
run_5_repetition_5,DONE,schedutil,high,135.01,8093.433,96.93,2505.84
run_11_repetition_9,DONE,performance,low,131.472,6589.417,52.33,2854.16
run_16_repetition_3,DONE,performance,medium,129.545,6595.815,55.42,2737.52
run_11_repetition_7,DONE,performance,high,133.697,8127.039,97.87,2510.48
run_2_repetition_6,DONE,powersave,low,136.214,4411.844,66.04,799.16
run_3_repetition_3,DONE,powersave,medium,137.297,4058.494,98.33,799
run_9_repetition_6,DONE,powersave,high,140.165,4085.836,98.81,799
run_1_repetition_4,DONE,userspace,low,136.279,4411.86,65.92,799.2
run_15_repetition_2,DONE,userspace,medium,142.609,4083.086,96.57,799.04
run_9_repetition_5,DONE,userspace,high,138.651,4103.582,98.64,799
run_14_repetition_6,DONE,ondemand,low,135.205,6146.492,52.27,1892.4
run_7_repetition_1,DONE,ondemand,medium,137.183,7910.168,91.64,2466.28
run_5_repetition_0,DONE,ondemand,high,132.659,7974.633,97.47,2494.08
run_5_repetition_3,DONE,conservative,low,130.707,6163.559,54.53,2081.68
run_9_repetition_4,DONE,conservative,medium,130.416,6188.363,58.7,2153.88
run_17_repetition_0,DONE,conservative,high,136.818,8258.008,96.71,2485.28
run_7_repetition_8,DONE,schedutil,low,131.264,6622.867,53.96,2824.04
run_5_repetition_8,DONE,schedutil,medium,129.665,7006.946,65.11,2674.4
run_8_repetition_0,DONE,schedutil,high,134.515,8106.938,96.07,2522.36
