__run_id,__done,governor_type,workload_type,execution_time,energy,cpu_usage,average_CPU_frequency
run_13_repetition_1,DONE,schedutil,low,69.995,2996.274,44.06,2783.769
run_5_repetition_6,DONE,schedutil,medium,68.916,3152.434,52.77,2763.615
run_10_repetition_8,DONE,schedutil,high,71.944,3980.574,92.08,2520.769
run_1_repetition_9,DONE,performance,low,69.266,2978.82,40.72,2908.769
run_1_repetition_0,DONE,performance,medium,70.188,3037.391,46.68,2815.769
run_8_repetition_7,DONE,performance,high,73.033,4053.367,91.4,2568.692
run_11_repetition_6,DONE,powersave,low,74.291,2051.203,48.86,802.154
run_1_repetition_8,DONE,powersave,medium,75.154,2101.188,95.35,799
run_6_repetition_6,DONE,powersave,high,72.4,2064.078,95.33,799
run_17_repetition_7,DONE,userspace,low,73.719,1997.445,48.11,799.077
run_11_repetition_0,DONE,userspace,medium,72.058,2026.508,95.35,799
run_8_repetition_8,DONE,userspace,high,75.933,2103.242,95.21,799
run_5_repetition_0,DONE,ondemand,low,70.757,2598.508,41.07,1306.154
run_13_repetition_5,DONE,ondemand,medium,71.319,2937.43,55.52,1913.231
run_12_repetition_6,DONE,ondemand,high,71.165,4009.055,93.15,2467.846
run_8_repetition_3,DONE,conservative,low,67.674,2320.11,38.78,1422.538
run_10_repetition_6,DONE,conservative,medium,69.49,2860.258,55.61,1936.077
run_3_repetition_0,DONE,conservative,high,71.419,4009.61,93.02,2528.615
run_6_repetition_8,DONE,schedutil,low,68.555,2838.914,35.4,2758.154
run_16_repetition_2,DONE,schedutil,medium,70.793,3237.289,49.34,2670.154
run_12_repetition_7,DONE,schedutil,high,71.193,4062.313,93.13,2512.538
run_11_repetition_9,DONE,performance,low,69.368,2886.899,36.89,2872.385
run_1_repetition_5,DONE,performance,medium,67.812,3189.914,53.61,2705.769
run_0_repetition_0,DONE,performance,high,72.328,4032.305,92.71,2517.615
run_6_repetition_4,DONE,powersave,low,69.851,2004.492,53.94,799.077
run_5_repetition_8,DONE,powersave,medium,73.138,2027,96.08,799
run_16_repetition_9,DONE,powersave,high,77.463,2123.5,94.97,799
run_10_repetition_1,DONE,userspace,low,76.212,2090.328,49.62,799.308
run_8_repetition_9,DONE,userspace,medium,74.907,2084.672,94.12,799
run_10_repetition_0,DONE,userspace,high,74.185,2065.352,96.16,799
run_7_repetition_7,DONE,ondemand,low,70.169,2759.985,45.27,1907.846
run_9_repetition_3,DONE,ondemand,medium,69.544,2855.547,50.39,1979.846
run_3_repetition_3,DONE,ondemand,high,72.702,3961.141,93.55,2487.692
run_17_repetition_9,DONE,conservative,low,70.367,2399.61,37.93,1470.308
run_16_repetition_8,DONE,conservative,medium,71.305,2884.742,51.78,2033
run_2_repetition_5,DONE,conservative,high,72.183,3929.133,92.96,2435.538
run_3_repetition_4,DONE,schedutil,low,71.676,2859.516,34.07,2575.231
run_5_repetition_3,DONE,schedutil,medium,70.549,3373.953,57.17,2671.692
run_10_repetition_4,DONE,schedutil,high,72.91,4017.114,93.94,2520.923
run_6_repetition_5,DONE,performance,low,69.613,2942.844,38.47,2926
run_7_repetition_5,DONE,performance,medium,69.156,3274.452,54.01,2782.462
run_0_repetition_3,DONE,performance,high,70.352,3997.326,93.81,2512.538
run_4_repetition_0,DONE,powersave,low,71.489,2026.762,53.96,799.154
run_6_repetition_7,DONE,powersave,medium,76.645,2133.711,94.29,799
run_7_repetition_0,DONE,powersave,high,77.648,2135.707,95.34,799
