Governor,Workload,Metric,Mean,Median,Standard Deviation,Min,Max,Range,W Stat (Norm),p-Val (Norm), Is Normality Assumed,t Stat (Hypo),W Stat (Hypo),p-Val (Hypo),Is Hypothesis Rejected
conservative,low,Energy Consumption (J),6276.0843,6261.7805,173.916417244383,6052.711,6537.891,485.179999999999,0.932088285140437,0.468744384531886,FALSE,None,45,0.083984375,FALSE
conservative,low,CPU Usage,56.092,56.2,2.88425534391269,52.61,61.86,9.25,0.93989803983435,0.551879383121681,FALSE,None,10,0.083984375,FALSE
conservative,medium,Energy Consumption (J),7791.1809,8081.1265,746.413195136648,6188.363,8331.162,2142.799,0.711655094493297,0.00121972852278926,FALSE,None,55,0.001953125,TRUE
conservative,medium,CPU Usage,86.273,93.305,14.1345778147067,58.7,96.9,38.2,0.722230919620662,0.00163938891066409,FALSE,None,0,0.001953125,TRUE
conservative,high,Energy Consumption (J),8165.5324,8176.946,112.816185626788,7991.295,8401.325,410.030000000001,0.95194923110135,0.691593452978745,TRUE,114.015415642466,None,1.55944131832153e-15,TRUE
conservative,high,CPU Usage,95.113,95.29,1.98387415595512,91.9,97.6,5.69999999999999,0.932302918070735,0.470922448524267,TRUE,-4.91433992952353,None,0.000831058288608922,TRUE
ondemand,low,Energy Consumption (J),6427.4925,6500.133,308.99538754783,5880.047,6784.094,904.047,0.917035080037273,0.332888457491303,FALSE,None,45,0.083984375,FALSE
ondemand,low,CPU Usage,55.472,56.92,4.86624381724641,43.56,59.34,15.78,0.792697717584619,0.0118176844402283,FALSE,None,10,0.083984375,FALSE
ondemand,medium,Energy Consumption (J),7750.1158,7987.806,589.407795439305,6502.063,8301.438,1799.375,0.827305312697442,0.0310499570900512,FALSE,None,55,0.001953125,TRUE
ondemand,medium,CPU Usage,87.517,93.575,13.0473182003898,61.83,97.69,35.86,0.772460462504705,0.00670070464297285,FALSE,None,4,0.013671875,TRUE
ondemand,high,Energy Consumption (J),8123.7422,8079.9455,108.663930217897,7974.633,8344.233,369.6,0.915865746945992,0.323759049464577,TRUE,140.54946926975,None,2.37464490637142e-16,TRUE
ondemand,high,CPU Usage,96.627,97.42,1.60123598094305,93.84,98.24,4.39999999999999,0.76583006641457,0.00556341103917821,FALSE,None,1,0.00390625,TRUE
performance,low,Energy Consumption (J),6738.9562,6688.2775,191.696220267496,6494.399,7070.071,575.672,0.942052657023848,0.576071993367089,FALSE,None,45,0.083984375,FALSE
performance,low,CPU Usage,55.288,54.27,3.80383958068102,50.87,64.05,13.18,0.888120538691326,0.161493385467417,FALSE,None,11,0.10546875,FALSE
performance,medium,Energy Consumption (J),7871.2064,8080.475,575.840483870355,6595.815,8343.844,1748.029,0.676468081764132,0.000457392291314136,FALSE,None,55,0.001953125,TRUE
performance,medium,CPU Usage,89.393,97.31,15.4699587372861,55.42,97.85,42.43,0.60551994952521,6.43566949417942e-05,FALSE,None,7,0.037109375,TRUE
performance,high,Energy Consumption (J),8829.201,8213.061,1970.08538245642,8123.657,14434.048,6310.391,0.391568891391275,1.99312736611512e-07,FALSE,None,55,0.001953125,TRUE
