Governor,Workload,Metric,Mean,Median,Standard Deviation,Min,Max,Range,W Stat (Norm),p-Val (Norm), Is Normality Assumed,t Stat (Hypo),W Stat (Hypo),p-Val (Hypo),Is Hypothesis Rejected
conservative,low,Energy Consumption (J),1800.0178,1791.428,92.8901284347386,1653.109,1947.016,293.907,0.974414680374922,0.928489590805597,TRUE,27.6135272940925,None,5.19905870368222e-10,TRUE
conservative,low,CPU Usage,59.708,60.065,3.89084623757409,53.85,65.89,12.04,0.952764409680935,0.701257108935139,TRUE,-6.8725508713967,None,7.28698310315664e-05,TRUE
conservative,medium,Energy Consumption (J),2048.3036,2053.4885,38.5241298328434,1971.188,2096.986,125.798,0.944798976125964,0.607535667735607,TRUE,125.552530615241,None,6.55280903920929e-16,TRUE
conservative,medium,CPU Usage,81.584,82.385,3.51548700593373,76.25,86.02,9.77,0.930913627728352,0.45693872644611,TRUE,-11.5760516835429,None,1.04540965102802e-06,TRUE
conservative,high,Energy Consumption (J),2143.2944,2140.1795,23.8038624372881,2112.078,2184.695,72.6170000000002,0.950765836371441,0.6775674493843,TRUE,136.701339220637,None,3.04831927011004e-16,TRUE
conservative,high,CPU Usage,91.627,91.635,0.644205798725153,90.59,92.54,1.95,0.945759847187456,0.618684684470139,TRUE,-6.33246260585017,None,0.000135660277411412,TRUE
ondemand,low,Energy Consumption (J),1651.2218,1645.584,82.8517588424585,1551.445,1799.739,248.294,0.944146743518563,0.600006446102043,TRUE,29.5214631569387,None,2.86665516114702e-10,TRUE
ondemand,low,CPU Usage,60.453,60.995,3.83269284504308,54.26,66.66,12.4,0.97260868708311,0.913921981621668,TRUE,-7.47446457996681,None,3.79314459653028e-05,TRUE
ondemand,medium,Energy Consumption (J),2007.9981,2025.66,66.3829513796861,1876.219,2096.836,220.617,0.942166977631503,0.577368480404947,TRUE,48.5072589131167,None,3.37153230206778e-12,TRUE
ondemand,medium,CPU Usage,80.862,81.3,4.65108541692749,70.21,85.43,15.22,0.868898945043178,0.0970524536388525,TRUE,-9.41595992089233,None,5.89113895220682e-06,TRUE
ondemand,high,Energy Consumption (J),2145.1994,2132.3125,41.7526491939267,2097.414,2241.103,143.689,0.832936441757738,0.0362977366660965,FALSE,None,55,0.001953125,TRUE
ondemand,high,CPU Usage,92.038,91.825,0.831167853083841,90.83,93.29,2.46000000000001,0.952643321968994,0.699821889215823,TRUE,-5.82406348837747,None,0.000251777947501542,TRUE
performance,low,Energy Consumption (J),1784.5264,1780.131,84.2442262633536,1692.664,1920.29,227.626,0.900402771544266,0.221337419138978,TRUE,26.3829988222387,None,7.8005751339415e-10,TRUE
performance,low,CPU Usage,58.758,59.095,3.93879225708141,52.31,64.86,12.55,0.978301763611051,0.955435018272191,TRUE,-6.80074967680998,None,7.89872772186505e-05,TRUE
performance,medium,Energy Consumption (J),2059.3087,2061.5775,46.4015677753577,1992.664,2147.945,155.281,0.961748004727726,0.805606985962084,TRUE,90.733839214702,None,1.21620287674145e-14,TRUE
performance,medium,CPU Usage,82.304,83.76,3.29797311490962,75.58,84.93,9.35000000000001,0.791775682650916,0.0115163452219571,FALSE,None,0,0.001953125,TRUE
performance,high,Energy Consumption (J),2150.3989,2144.746,19.6096454466786,2137.93,2204.555,66.625,0.597631959133009,5.18248137193141e-05,FALSE,None,55,0.001953125,TRUE
performance,high,CPU Usage,92.403,92.315,0.502881695829151,91.66,93.29,1.63000000000001,0.965411121172261,0.845348162823556,TRUE,-6.82460197394117,None,7.68949981422783e-05,TRUE
schedutil,low,Energy Consumption (J),1776.0823,1756.939,79.5719462011162,1675.555,1910.854,235.299,0.942719510085478,0.58365177851952,TRUE,35.5954306252234,None,5.39195912988489e-11,TRUE
schedutil,low,CPU Usage,58.24,58.48,3.69582046220983,52.02,62.75,10.73,0.938874526492097,0.540559305139924,TRUE,-7.63545273562576,None,3.20659174908027e-05,TRUE
schedutil,medium,Energy Consumption (J),2042.7056,2042.349,47.1650930390026,1964.883,2109.77,144.887,0.967363472912274,0.865381783179192,TRUE,70.6264643554048,None,1.15600808703483e-13,TRUE
schedutil,medium,CPU Usage,81.785,83.17,3.30444229619597,77.24,85.96,8.72,0.872179735170411,0.105979739104717,TRUE,-12.5615299081515,None,5.2107298894139e-07,TRUE
schedutil,high,Energy Consumption (J),2157.3698,2146.541,25.5617731422876,2129.024,2201.973,72.9490000000001,0.895061725398195,0.193214805834271,TRUE,108.727893656724,None,2.39028662325387e-15,TRUE
schedutil,high,CPU Usage,91.837,92.085,1.01336677576395,89.37,92.68,3.31,0.802371718964471,0.0154931944692837,FALSE,None,0,0.001953125,TRUE
userspace,low,Energy Consumption (J),1095.0753,1093.8625,40.592089390942,1022.641,1183.529,160.888,0.909931622957261,0.280521673868563,TRUE,1.89730884088078,None,0.0902756659388622,FALSE
userspace,low,CPU Usage,77.1,78.42,4.42120898498237,65.62,80.67,15.05,0.738105721399221,0.00255689919419615,FALSE,None,30,0.845703125,FALSE
userspace,medium,Energy Consumption (J),1124.3643,1120.4795,17.9365228703274,1102.172,1155.188,53.0160000000001,0.901756555283415,0.229019027088241,TRUE,-0.879597138166804,None,0.401952660676921,FALSE
userspace,medium,CPU Usage,93.82,93.86,0.72303373211613,92.35,95.23,2.88000000000001,0.921438860342814,0.369112095344977,TRUE,-0.0278278212153244,None,0.978406764406183,FALSE
userspace,high,Energy Consumption (J),1133.9629,1138.9815,28.820630051136,1077.914,1169.471,91.557,0.946779434600862,0.630581637078071,TRUE,0.933929422160584,None,0.374717914358635,FALSE
userspace,high,CPU Usage,93.476,93.405,1.06072511885869,91.66,95.24,3.58,0.970709604175664,0.897345440101473,TRUE,0.358230390239526,None,0.728429426462444,FALSE
powersave,low,Energy Consumption (J),1071.4199,1059.633,47.8106820896521,1015.188,1140.562,125.374,0.902551486267471,0.233637985107077,TRUE
powersave,low,CPU Usage,77.005,75.395,7.11352584869135,68.84,93.88,25.04,0.854712418371591,0.0660783233817247,TRUE
powersave,medium,Energy Consumption (J),1128.15,1122.254,23.7120845702495,1100.359,1160.77,60.4110000000001,0.890103427561162,0.170031877524207,TRUE
powersave,medium,CPU Usage,93.829,93.725,0.772088797426249,92.75,94.99,2.23999999999999,0.922160480007095,0.375327185044842,TRUE
powersave,high,Energy Consumption (J),1128.7815,1133.914,28.1471593287453,1073.602,1161.875,88.2729999999999,0.939753965667351,0.55027893109211,TRUE
powersave,high,CPU Usage,93.366,93.42,0.628016277212977,92.35,94.31,1.96000000000001,0.975448567256505,0.936264775098011,TRUE
