Governor,Workload,Metric,Mean,Median,Standard Deviation,Min,Max,Range,W Stat (Norm),p-Val (Norm), Is Normality Assumed,t Stat (Hypo),W Stat (Hypo),p-Val (Hypo),Is Hypothesis Rejected
conservative,low,Energy Consumption (J),2818.982,2642.1875,487.911513605125,2320.11,4015.851,1695.741,0.824738532623567,0.0289129678434005,FALSE,None,55,0.001953125,TRUE
conservative,low,CPU Usage,49.278,45.895,12.1233913480419,37.93,79.59,41.66,0.805768072678852,0.0170366678210418,FALSE,None,8,0.048828125,TRUE
conservative,medium,Energy Consumption (J),3249.3213,3097.377,392.405654708959,2860.258,4125.789,1265.531,0.870709560055786,0.101886855766316,TRUE,9.65931317529363,None,4.77133763705017e-06,TRUE
conservative,medium,CPU Usage,63.054,59.925,9.88157229954379,51.78,84.83,33.05,0.887714473013349,0.159794141101511,TRUE,-10.7901997446614,None,1.89342635853812e-06,TRUE
conservative,high,Energy Consumption (J),4056.9901,4057.5455,76.7852276048083,3929.133,4154.82,225.687,0.952780961396782,0.701453281559684,TRUE,77.1888314326192,None,5.20234212087561e-14,TRUE
conservative,high,CPU Usage,93.501,93.505,1.10080223271738,91.35,94.76,3.41000000000001,0.925834442312401,0.408190756635163,TRUE,-5.13401443328167,None,0.000616238430894668,TRUE
ondemand,low,Energy Consumption (J),2850.5523,2841.094,141.161797736616,2598.508,3100,501.492,0.991852420671555,0.99856211754223,TRUE,25.7105056292539,None,9.8140161832651e-10,TRUE
ondemand,low,CPU Usage,49.294,48.42,4.70314835450089,41.07,55.28,14.21,0.937000826509289,0.520148563858226,TRUE,-4.81023009600441,None,0.000959941291559119,TRUE
ondemand,medium,Energy Consumption (J),3133.0795,3044.593,209.984773690459,2855.547,3438.125,582.578,0.892675796695958,0.181723313318632,TRUE,16.4638864049811,None,5.01226439760251e-08,TRUE
ondemand,medium,CPU Usage,60.515,58.4,6.57029214638808,50.39,71.64,21.25,0.954035119242192,0.716305568207576,TRUE,-18.024057575908,None,2.26797304524359e-08,TRUE
ondemand,high,Energy Consumption (J),4074.5571,4036.214,137.788944828636,3961.141,4433.92,472.779,0.705475832976856,0.00102637675448607,FALSE,None,55,0.001953125,TRUE
ondemand,high,CPU Usage,94.009,93.84,0.819951895607975,92.95,95.59,2.64,0.952851653076347,0.702291095723142,TRUE,-6.95623001587179,None,6.63856428024529e-05,TRUE
performance,low,Energy Consumption (J),3106.5652,3069.3845,155.029819478419,2886.899,3333.422,446.523,0.942824991534695,0.584854460878792,TRUE,28.5181023478656,None,3.90149194496387e-10,TRUE
performance,low,CPU Usage,45.394,45.895,5.9642531431484,36.89,54.18,17.29,0.954366942807061,0.720229275272599,TRUE,-6.2586562990224,None,0.00014809630638125,TRUE
performance,medium,Energy Consumption (J),3349.6006,3306.476,205.834657863053,3037.391,3688.35,650.959,0.942744838124446,0.583940473459792,TRUE,20.5668463937708,None,7.09497406681798e-09,TRUE
performance,medium,CPU Usage,58.667,55.41,9.64582817134491,46.68,78.98,32.3,0.910469365833435,0.284230655140319,TRUE,-12.7228135898447,None,4.67144882618813e-07,TRUE
performance,high,Energy Consumption (J),4143.3526,4084.0325,180.242114688487,3997.326,4622.36,625.034,0.697959397965857,0.000832170119489179,FALSE,None,55,0.001953125,TRUE
performance,high,CPU Usage,93.757,93.865,1.10167599592621,91.4,95.42,4.02,0.931739143572663,0.465215101653865,TRUE,-5.6028984943798,None,0.000333034893614984,TRUE
schedutil,low,Energy Consumption (J),3075.9252,3110.1405,160.607458579261,2838.914,3311.516,472.602,0.930852664293812,0.45633135878009,TRUE,30.1691723142239,None,2.3622042985676e-10,TRUE
schedutil,low,CPU Usage,43.958,44.41,6.13252132305937,34.07,51.42,17.35,0.912440468562462,0.298178712450669,TRUE,-6.07164364119577,None,0.000185528657260251,TRUE
schedutil,medium,Energy Consumption (J),3336.2942,3311.0175,185.797342735334,3144.535,3769.992,625.457,0.876402090687585,0.118617628528343,TRUE,23.682191398903,None,2.03604166616605e-09,TRUE
schedutil,medium,CPU Usage,56.133,53.805,7.7414957641703,49.19,74.94,25.75,0.81335946553289,0.0210599735463314,FALSE,None,0,0.001953125,TRUE
schedutil,high,Energy Consumption (J),4058.3654,4054.4925,53.2203115239954,3980.574,4160.961,180.387,0.976330802696704,0.942558331118565,TRUE,105.845864157999,None,3.04354069709418e-15,TRUE
schedutil,high,CPU Usage,94.123,94.315,0.942562111127609,92.08,95.03,2.95,0.870547162075918,0.101444069293815,TRUE,-4.98979749956133,None,0.000749335755018842,TRUE
userspace,low,Energy Consumption (J),2088.7355,2084.4415,63.8666505571483,1997.445,2185.895,188.45,0.956587793703935,0.746376086915107,TRUE,-0.566971018282108,None,0.584595127375936,FALSE
userspace,low,CPU Usage,55.52,55.455,4.65378937593393,48.11,63.21,15.1,0.972798113220473,0.915506573448304,TRUE,-0.849431375638711,None,0.417663005604124,FALSE
userspace,medium,Energy Consumption (J),2108.2814,2126.484,36.2752795753067,2026.508,2141.031,114.523,0.828516416349563,0.0321115676176537,FALSE,None,31,0.76953125,FALSE
userspace,medium,CPU Usage,95.098,94.99,0.981017612255536,93.87,96.55,2.67999999999999,0.910527472561651,0.284633889580971,TRUE,-2.65792841429567,None,0.0261343735307662,TRUE
userspace,high,Energy Consumption (J),2138.2629,2135.2785,46.4343396168779,2065.352,2233.819,168.467,0.953085862648983,0.705066462333718,TRUE,-0.00676559775403766,None,0.994749468290408,FALSE
userspace,high,CPU Usage,95.57,95.875,1.17612357627363,92.42,96.46,4.03999999999999,0.685394287088347,0.000586333594724357,FALSE,None,28,1,FALSE
powersave,low,Energy Consumption (J),2101.2127,2064.422,98.0229992422981,2004.492,2273.905,269.413,0.872612544834914,0.107214064428815,TRUE
powersave,low,CPU Usage,57.418,57.08,6.4739766244043,48.74,66.75,18.01,0.916057275205731,0.325240442064474,TRUE
powersave,medium,Energy Consumption (J),2099.6097,2097.3285,42.1534346301962,2027,2150.486,123.486,0.929242467638713,0.440482516227215,TRUE
powersave,medium,CPU Usage,95.721,95.925,0.91702962511215,94.16,96.91,2.75,0.922002464743043,0.373959505066996,TRUE
powersave,high,Energy Consumption (J),2138.3675,2129.6035,55.4076241670164,2064.078,2222.316,158.238,0.940571747918403,0.559392802281111,TRUE
powersave,high,CPU Usage,95.669,95.57,0.751094756560936,94.39,96.7,2.31,0.95214939427265,0.693966528654666,TRUE
