Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

06:12:31 PM     CPU       MHz
06:12:36 PM     all   2521.86
06:12:41 PM     all   2499.99
06:12:46 PM     all   2499.99
06:12:51 PM     all   2499.99
06:12:56 PM     all   2499.99
06:13:01 PM     all   2499.99
06:13:06 PM     all   2499.99
06:13:11 PM     all   2499.99
06:13:16 PM     all   2499.99
06:13:21 PM     all   2521.86
06:13:26 PM     all   2499.99
06:13:31 PM     all   2499.99
06:13:36 PM     all   2521.86
06:13:41 PM     all   2499.99
06:13:46 PM     all   2521.87
06:13:51 PM     all   2499.99
06:13:56 PM     all   2543.74
06:14:01 PM     all   2499.99
06:14:06 PM     all   2499.99
06:14:11 PM     all   2499.99
06:14:16 PM     all   2499.99
06:14:21 PM     all   2499.99
06:14:26 PM     all   2499.99
06:14:31 PM     all   2499.99
06:14:36 PM     all   2674.98
Average:        all   2512.24
