Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

11:57:02 AM     CPU       MHz
11:57:07 AM     all   2522.06
11:57:12 AM     all   2521.87
11:57:17 AM     all   2499.99
11:57:22 AM     all   2499.99
11:57:27 AM     all   2499.99
11:57:32 AM     all   2499.99
11:57:37 AM     all   2499.99
11:57:42 AM     all   2499.99
11:57:47 AM     all   2499.99
11:57:52 AM     all   2499.97
11:57:57 AM     all   2499.99
11:58:02 AM     all   2499.99
11:58:07 AM     all   2499.99
11:58:12 AM     all   2499.99
11:58:17 AM     all   2499.99
11:58:22 AM     all   2499.99
11:58:27 AM     all   2499.99
11:58:32 AM     all   2499.99
11:58:37 AM     all   2499.99
11:58:42 AM     all   2499.99
11:58:47 AM     all   2499.99
11:58:52 AM     all   2499.99
11:58:57 AM     all   2499.99
11:59:02 AM     all   2499.48
11:59:07 AM     all   2553.10
Average:        all   2503.85
