Linux 5.15.0-122-generic (gl5) 	11/28/2024 	_x86_64_	(32 CPU)

10:23:57 PM     CPU       MHz
10:24:02 PM     all    799.99
10:24:07 PM     all    799.99
10:24:12 PM     all    800.00
10:24:17 PM     all    799.99
10:24:22 PM     all    799.99
10:24:27 PM     all    799.99
10:24:32 PM     all    799.99
10:24:37 PM     all    799.99
10:24:42 PM     all    799.99
10:24:47 PM     all    799.99
10:24:52 PM     all    799.99
10:24:57 PM     all    799.99
10:25:02 PM     all    800.00
Average:        all    799.99
