__run_id;__done;governor_type;workload_type;execution_time (seconds);energy (Joules);cpu_usage (%);average_CPU_frequency (MHz)
run_0_repetition_6;DONE;powersave;low;71.171;1996.52;85.08;799.077
run_1_repetition_3;DONE;powersave;medium;70.003;2018.961;96.51;799.0
run_2_repetition_7;DONE;powersave;high;70.684;2164.219;98.59;799.0
run_1_repetition_4;DONE;powersave;low;68.084;1860.27;64.97;799.0
run_1_repetition_6;DONE;powersave;medium;70.197;2019.816;96.61;799.0
run_0_repetition_0;DONE;powersave;high;70.842;2047.942;95.88;799.0
run_0_repetition_5;DONE;powersave;low;68.201;1930.945;72.42;799.077
run_2_repetition_9;DONE;powersave;medium;71.557;2077.051;95.87;799.0
run_1_repetition_5;DONE;powersave;high;70.433;2019.793;96.21;799.0
run_0_repetition_8;DONE;powersave;low;68.111;1896.918;69.46;799.077
run_2_repetition_8;DONE;powersave;medium;70.722;2084.523;96.31;799.0
run_1_repetition_1;DONE;powersave;high;70.475;1990.996;96.19;799.0
run_1_repetition_2;DONE;powersave;low;68.073;1916.113;72.13;799.154
run_2_repetition_5;DONE;powersave;medium;70.09;2102.41;96.35;799.0
run_2_repetition_2;DONE;performance;high;67.31;4092.197;97.11;2512.538
run_2_repetition_3;DONE;performance;low;66.543;3851.258;81.64;2646.231
run_1_repetition_0;DONE;powersave;medium;70.31;2014.379;96.55;799.0
run_2_repetition_0;DONE;powersave;high;71.268;2048.793;96.22;799.0
run_0_repetition_9;DONE;powersave;low;69.315;1915.813;67.43;799.154
run_0_repetition_4;DONE;performance;medium;67.917;4133.07;95.87;2502.385
run_2_repetition_4;DONE;powersave;high;70.542;2039.242;96.53;799.0
run_0_repetition_3;DONE;powersave;low;67.801;1908.184;71.97;799.077
run_2_repetition_1;DONE;powersave;medium;70.755;2052.465;96.85;799.0
run_0_repetition_7;DONE;powersave;high;70.968;2048.922;96.22;799.0
run_0_repetition_2;DONE;powersave;low;67.718;1931.633;76.71;799.077
run_1_repetition_7;DONE;powersave;medium;70.634;2022.297;96.41;799.0
run_1_repetition_9;DONE;powersave;high;71.012;2046.586;96.03;799.0
run_1_repetition_8;DONE;powersave;low;69.268;2002.516;77.7;799.0
run_0_repetition_1;DONE;powersave;medium;70.781;2069.649;96.34;799.0
run_2_repetition_6;DONE;powersave;high;70.764;2029.203;96.29;799.0
