__run_id,__done,governor_type,workload_type,execution_time (seconds),energy (Joules),cpu_usage (%),average_CPU_frequency (MHz)
run_0_repetition_8,DONE,powersave,low,38.976,1007.68,76.95,799.143
run_0_repetition_3,DONE,powersave,medium,42.736,1083.195,91.28,799.143
run_0_repetition_7,DONE,powersave,high,40.968,1091.137,92.05,799.0
run_0_repetition_1,DONE,powersave,low,37.862,986.273,67.37,799.143
run_1_repetition_8,DONE,powersave,medium,39.7,1092.203,92.57,799.0
run_1_repetition_6,DONE,powersave,high,40.209,1094.832,92.01,799.0
run_0_repetition_9,DONE,powersave,low,37.408,989.359,68.09,799.143
run_0_repetition_5,DONE,powersave,medium,40.618,1121.836,92.81,799.0
run_1_repetition_5,DONE,powersave,high,40.875,1093.352,92.88,799.0
run_1_repetition_3,DONE,powersave,low,38.469,1003.0,70.14,799.143
run_2_repetition_1,DONE,powersave,medium,40.301,1098.75,92.95,799.0
run_0_repetition_2,DONE,powersave,high,41.233,1096.664,91.98,799.0
run_2_repetition_7,DONE,powersave,low,40.11,1053.524,74.51,799.0
run_0_repetition_6,DONE,powersave,medium,40.35,1125.109,92.79,799.0
run_0_repetition_0,DONE,powersave,high,40.556,1104.977,92.88,799.0
run_2_repetition_3,DONE,powersave,low,37.641,990.899,67.23,799.143
run_2_repetition_9,DONE,powersave,medium,40.398,1099.867,93.18,799.0
run_2_repetition_6,DONE,powersave,high,40.327,1095.766,91.57,799.0
run_2_repetition_5,DONE,powersave,low,38.794,1008.0,72.01,799.143
run_1_repetition_4,DONE,powersave,medium,40.437,1091.109,92.88,799.0
run_1_repetition_1,DONE,powersave,high,41.441,1098.102,92.21,799.0
run_1_repetition_2,DONE,powersave,low,37.932,958.766,65.57,799.143
run_1_repetition_9,DONE,powersave,medium,40.51,1101.102,92.91,799.0
run_2_repetition_2,DONE,powersave,high,40.662,1096.703,91.96,799.0
run_1_repetition_7,DONE,powersave,low,37.672,1010.313,72.37,799.143
run_0_repetition_4,DONE,powersave,medium,40.091,1099.32,93.21,799.0
run_2_repetition_4,DONE,powersave,high,40.761,1107.524,92.81,799.0
run_1_repetition_0,DONE,powersave,low,38.176,992.469,66.69,799.143
run_2_repetition_0,DONE,powersave,medium,40.032,1099.453,92.77,799.0
run_2_repetition_8,DONE,powersave,high,41.266,1121.688,91.88,799.0
