__run_id,__done,governor_type,workload_type,execution_time (seconds),cpu_usage,energy,average_CPU_frequency
run_0_repetition_0,DONE,userspace,high,67.417,97.41,198991.723,2499.0
run_1_repetition_0,DONE,userspace,medium,66.377,88.52,196593.363,2557.5
run_2_repetition_0,DONE,conservative,high,68.05,96.02,210065.043,2499.0
run_3_repetition_0,DONE,conservative,low,68.449,65.78,192345.598,2760.5
run_4_repetition_0,DONE,performance,low,65.762,60.74,185162.739,2731.0
run_5_repetition_0,DONE,ondemand,low,68.62,66.76,187513.196,2388.0
run_6_repetition_0,DONE,schedutil,high,67.829,95.94,225109.801,2515.5
run_7_repetition_0,DONE,powersave,high,69.767,97.25,114877.946,799.0
run_8_repetition_0,DONE,ondemand,high,67.051,96.61,229614.048,2499.0
run_9_repetition_0,DONE,schedutil,medium,67.424,89.2,233746.809,2552.083
run_10_repetition_0,DONE,userspace,low,66.983,65.19,148566.477,1388.25
run_11_repetition_0,DONE,powersave,medium,70.276,97.52,123230.548,799.0
run_12_repetition_0,DONE,performance,medium,66.44,91.04,242385.45,2559.333
run_13_repetition_0,TODO, , , , , , 
run_14_repetition_0,TODO, , , , , , 
run_15_repetition_0,TODO, , , , , , 
run_16_repetition_0,TODO, , , , , , 
run_17_repetition_0,TODO, , , , , , 
