Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

01:16:34 PM     CPU       MHz
01:16:39 PM     all    799.99
01:16:44 PM     all    799.99
01:16:49 PM     all    799.99
01:16:54 PM     all    799.99
01:16:59 PM     all    799.99
01:17:04 PM     all    799.99
01:17:09 PM     all    799.99
01:17:14 PM     all    800.00
01:17:19 PM     all    799.99
01:17:24 PM     all    800.00
01:17:29 PM     all    800.00
01:17:34 PM     all    800.00
01:17:39 PM     all    800.00
01:17:44 PM     all    799.99
01:17:49 PM     all    799.99
01:17:54 PM     all    799.99
01:17:59 PM     all    799.99
01:18:04 PM     all    799.99
01:18:09 PM     all    799.99
01:18:14 PM     all    799.99
01:18:19 PM     all    799.99
01:18:24 PM     all    799.99
01:18:29 PM     all    799.99
01:18:34 PM     all    799.99
01:18:39 PM     all    799.99
Average:        all    799.99
