Linux 5.15.0-122-generic (gl5) 	12/03/2024 	_x86_64_	(32 CPU)

11:54:14 AM     CPU       MHz
11:54:19 AM     all   2469.22
11:54:24 AM     all   2631.24
11:54:29 AM     all   2582.91
11:54:34 AM     all   2530.90
11:54:39 AM     all   2914.70
11:54:44 AM     all   1708.32
11:54:49 AM     all   2457.94
11:54:54 AM     all   2504.28
11:54:59 AM     all   2454.83
11:55:04 AM     all   2113.30
11:55:09 AM     all   1333.40
11:55:14 AM     all   2326.40
11:55:19 AM     all   2091.53
11:55:24 AM     all   2175.98
11:55:29 AM     all   1983.00
11:55:34 AM     all   2527.62
11:55:39 AM     all   2452.87
11:55:44 AM     all   2342.01
11:55:49 AM     all   2636.20
11:55:54 AM     all   2543.58
11:55:59 AM     all   2570.42
11:56:04 AM     all   2466.94
11:56:09 AM     all   2673.48
11:56:14 AM     all   2557.41
11:56:19 AM     all   2234.37
Average:        all   2371.31
