__run_id,__done,governor_type,workload_type,execution_time (seconds),energy (Joules),cpu_usage (%),average_CPU_frequency (MHz)
run_7_repetition_7,DONE,schedutil,low,37.865,1684.797,52.02,2613.0
run_0_repetition_6,DONE,schedutil,medium,38.313,2013.492,77.24,2695.286
run_11_repetition_0,DONE,schedutil,high,38.8,2131.039,91.03,2539.714
run_6_repetition_8,DONE,performance,low,36.101,1692.664,52.31,2789.833
run_3_repetition_4,DONE,performance,medium,38.187,2007.477,75.58,2668.143
run_5_repetition_0,DONE,performance,high,38.54,2147.531,91.66,2527.143
run_17_repetition_4,DONE,powersave,low,38.654,1015.188,73.38,799.0
run_3_repetition_9,DONE,powersave,medium,40.533,1100.359,93.05,799.0
run_5_repetition_2,DONE,powersave,high,40.47,1099.227,92.59,799.0
run_8_repetition_4,DONE,userspace,low,39.67,1074.055,76.27,799.0
run_17_repetition_6,DONE,userspace,medium,40.66,1102.172,92.35,799.0
run_12_repetition_9,DONE,userspace,high,41.31,1106.977,92.28,799.0
run_7_repetition_2,DONE,ondemand,low,36.704,1564.891,56.16,2023.429
run_8_repetition_0,DONE,ondemand,medium,37.893,1951.711,78.32,2207.0
run_14_repetition_3,DONE,ondemand,high,38.279,2097.414,90.83,2452.429
run_11_repetition_5,DONE,conservative,low,37.584,1653.109,53.85,2459.857
run_5_repetition_8,DONE,conservative,medium,39.337,2007.977,76.25,2584.0
run_3_repetition_6,DONE,conservative,high,38.791,2112.758,91.49,2510.714
run_3_repetition_3,DONE,schedutil,low,36.596,1675.555,53.13,2757.167
run_9_repetition_1,DONE,schedutil,medium,37.405,1964.883,77.39,2717.857
run_1_repetition_6,DONE,schedutil,high,39.302,2166.711,89.37,2555.286
run_13_repetition_2,DONE,performance,low,35.844,1695.227,54.66,2743.167
run_13_repetition_4,DONE,performance,medium,37.857,1992.664,80.63,2666.714
run_17_repetition_1,DONE,performance,high,38.144,2137.93,91.8,2530.286
run_4_repetition_8,DONE,powersave,low,38.829,1017.352,74.44,799.286
run_1_repetition_9,DONE,powersave,medium,39.957,1106.422,93.67,799.0
run_0_repetition_7,DONE,powersave,high,40.349,1073.602,93.18,799.0
run_15_repetition_1,DONE,userspace,low,39.828,1022.641,65.62,799.143
run_14_repetition_8,DONE,userspace,medium,40.187,1111.258,93.59,799.0
run_16_repetition_1,DONE,userspace,high,40.996,1077.914,93.01,799.0
run_11_repetition_1,DONE,ondemand,low,37.103,1551.445,54.26,1855.714
run_11_repetition_6,DONE,ondemand,medium,38.681,1973.563,80.45,2393.714
run_9_repetition_9,DONE,ondemand,high,38.593,2145.664,91.76,2480.714
run_13_repetition_6,DONE,conservative,low,37.626,1717.859,54.13,2508.0
run_11_repetition_2,DONE,conservative,medium,38.051,1971.188,77.26,2393.857
run_2_repetition_6,DONE,conservative,high,38.06,2112.078,91.63,2473.714
run_17_repetition_5,DONE,schedutil,low,38.971,1829.805,56.51,2569.0
run_16_repetition_5,DONE,schedutil,medium,38.133,2031.781,77.7,2580.571
run_13_repetition_5,DONE,schedutil,high,37.934,2145.625,92.67,2521.0
run_10_repetition_7,DONE,performance,low,36.527,1700.742,57.17,2695.5
run_15_repetition_7,DONE,performance,medium,38.21,2028.633,77.61,2662.857
run_6_repetition_2,DONE,performance,high,37.978,2143.703,92.21,2549.0
run_15_repetition_9,DONE,powersave,low,39.152,1093.277,76.35,799.0
run_2_repetition_5,DONE,powersave,medium,40.118,1100.803,93.11,799.0
run_2_repetition_3,DONE,powersave,high,40.44,1108.597,92.91,799.0
run_8_repetition_1,DONE,userspace,low,40.443,1099.709,77.99,799.0
run_10_repetition_4,DONE,userspace,medium,41.349,1109.354,93.7,799.0
run_1_repetition_8,DONE,userspace,high,40.542,1115.558,93.39,799.0
run_0_repetition_5,DONE,ondemand,low,37.219,1562.433,56.78,2025.714
run_11_repetition_8,DONE,ondemand,medium,39.387,2027.416,80.47,2444.714
run_2_repetition_2,DONE,ondemand,high,39.208,2122.446,91.75,2460.429
run_4_repetition_1,DONE,conservative,low,37.514,1719.509,56.57,2417.0
run_13_repetition_3,DONE,conservative,medium,39.255,2043.2,81.69,2623.0
run_1_repetition_3,DONE,conservative,high,38.674,2131.39,91.64,2517.429
run_10_repetition_3,DONE,schedutil,low,36.217,1738.327,56.94,2518.667
run_2_repetition_1,DONE,schedutil,medium,37.003,2011.771,83.24,2525.429
run_2_repetition_0,DONE,schedutil,high,38.34,2142.872,91.75,2542.857
run_17_repetition_8,DONE,performance,low,35.908,1714.759,55.55,2754.5
run_10_repetition_9,DONE,performance,medium,37.05,2048.311,82.89,2659.286
run_7_repetition_1,DONE,performance,high,37.504,2140.838,92.16,2583.429
run_16_repetition_3,DONE,powersave,low,41.273,1140.562,93.88,799.0
run_11_repetition_7,DONE,powersave,medium,41.177,1142.197,93.82,799.0
run_1_repetition_1,DONE,powersave,high,41.079,1145.268,93.67,799.0
run_10_repetition_8,DONE,userspace,low,39.436,1101.162,79.49,799.0
run_2_repetition_8,DONE,userspace,medium,40.151,1114.49,93.85,799.0
run_15_repetition_0,DONE,userspace,high,41.999,1136.584,91.66,799.0
run_1_repetition_2,DONE,ondemand,low,38.428,1737.842,61.73,2177.714
run_15_repetition_3,DONE,ondemand,medium,39.303,2023.904,84.09,2462.286
run_5_repetition_1,DONE,ondemand,high,38.586,2126.533,91.06,2479.0
run_8_repetition_8,DONE,conservative,low,39.408,1815.418,59.43,2516.0
run_15_repetition_8,DONE,conservative,medium,38.863,2056.201,83.08,2610.857
run_1_repetition_0,DONE,conservative,high,39.281,2166.344,90.59,2546.0
run_0_repetition_1,DONE,schedutil,low,36.676,1727.191,58.73,2743.5
run_7_repetition_8,DONE,schedutil,medium,38.659,2109.77,83.36,2611.857
run_16_repetition_0,DONE,schedutil,high,39.026,2201.973,91.66,2530.429
run_2_repetition_7,DONE,performance,low,36.803,1773.981,57.84,2819.714
run_9_repetition_8,DONE,performance,medium,37.913,2032.152,83.79,2583.571
run_4_repetition_4,DONE,performance,high,38.33,2204.555,92.31,2521.0
run_16_repetition_2,DONE,powersave,low,39.053,1033.527,72.12,799.143
run_11_repetition_9,DONE,powersave,medium,42.406,1122.891,92.75,799.0
run_0_repetition_3,DONE,powersave,high,43.387,1161.242,92.35,799.0
run_12_repetition_3,DONE,userspace,low,39.155,1075.391,78.85,799.0
run_4_repetition_9,DONE,userspace,medium,39.892,1126.469,94.24,799.0
run_8_repetition_6,DONE,userspace,high,41.632,1150.488,93.3,799.0
run_4_repetition_7,DONE,ondemand,low,38.876,1707.645,62.61,2164.429
run_12_repetition_4,DONE,ondemand,medium,38.453,1971.184,77.8,2423.0
run_7_repetition_3,DONE,ondemand,high,39.362,2117.59,91.89,2446.286
run_6_repetition_4,DONE,conservative,low,38.564,1756.789,59.9,2466.857
run_13_repetition_8,DONE,conservative,medium,38.76,2054.922,83.52,2578.571
run_4_repetition_0,DONE,conservative,high,39.165,2166.664,91.35,2507.857
run_13_repetition_0,DONE,schedutil,low,37.103,1775.551,58.23,2424.0
run_6_repetition_6,DONE,schedutil,medium,38.256,2065.801,83.1,2661.714
run_9_repetition_7,DONE,schedutil,high,38.671,2139.059,92.07,2542.857
run_10_repetition_1,DONE,performance,low,36.808,1812.109,60.35,2680.429
run_5_repetition_6,DONE,performance,medium,38.878,2088.84,84.7,2596.0
run_12_repetition_2,DONE,performance,high,37.846,2149.543,92.53,2539.714
run_14_repetition_7,DONE,powersave,low,39.421,1039.762,68.84,799.286
run_6_repetition_7,DONE,powersave,medium,40.881,1114.621,93.74,799.0
run_9_repetition_3,DONE,powersave,high,41.337,1146.098,93.69,799.0
run_16_repetition_7,DONE,userspace,low,41.126,1110.211,79.4,799.0
run_17_repetition_2,DONE,userspace,medium,40.509,1113.008,93.98,799.0
run_16_repetition_8,DONE,userspace,high,40.996,1141.379,93.42,799.0
run_17_repetition_9,DONE,ondemand,low,36.725,1623.254,59.92,2043.857
run_12_repetition_8,DONE,ondemand,medium,37.534,1876.219,70.21,2267.986
run_8_repetition_3,DONE,ondemand,high,38.618,2133.391,92.46,2454.143
run_11_repetition_4,DONE,conservative,low,39.085,1853.789,61.59,2436.857
run_3_repetition_2,DONE,conservative,medium,39.301,2052.055,79.4,2585.286
