Linux 5.15.0-122-generic (gl5) 	12/01/2024 	_x86_64_	(32 CPU)

02:03:30 PM     CPU       MHz
02:03:35 PM     all   2648.79
02:03:40 PM     all   1576.00
02:03:45 PM     all    956.99
02:03:50 PM     all   1657.35
02:03:55 PM     all    895.76
02:04:00 PM     all   1605.04
02:04:05 PM     all   1248.10
02:04:10 PM     all   1283.42
02:04:15 PM     all   1718.70
02:04:20 PM     all   1808.51
02:04:25 PM     all   1210.71
02:04:30 PM     all    948.30
02:04:35 PM     all    941.13
Average:        all   1422.98
